Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Day,Material_Brass,Material_Bronze,Material_Clay,Material_Marble,Material_Stone,Material_Unknown,Material_Wood,International_Yes,Express Shipment_Yes,Installation Included_Yes,Transport_Roadways,Transport_Unknown,Transport_Waterways,Fragile_Yes,Customer Information_Working Class,Remote Location_Unknown,Remote Location_Yes,Cost
0.23,16,8,358,3.26,13.82,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,179.32
0.52,36,17,593,3.86,17,-4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,288.58
0.59,22,15,16046,99.52,89.55,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4895.23
0.01,16,7,1002,4.15,22.03,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,156.3
0.93,29,8,7757,24.29,78.75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2944.95
0.58,0,5,71,4.28,19.83,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,205.19
0.86,49,17,196893,116.3,81.85,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,5364.93
0.27,6,5,355,3.14,15.04,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,181.02
0.17,20,7,3669,5.13,11.07,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,152.23
0.54,36,0,61696,61.6,48.17,-4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1731.53
0.07,9,4,74,6.77,11.75,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,137.87
0.51,8,4,215,6.25,23.85,-3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,263.23
0.59,16,8,4679,10.08,19.77,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,380.91
0.29,24,12,2443,5.18,15.8,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,300.68
0.17,47,23,5624,19.82,63.79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,392.2
0.6,0,0,160742,554.72,92.44,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,5651.15
0.98,15,7,3872,5.49,20.04,-4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,963.88
0.3,22,9,345055,365.28,54.25,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1297.25
0.25,15,6,553,3.03,18.09,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,182.92
0,39,7,1073,3.6,23.31,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,269.88
0.31,7,5,415,5.75,22,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,210.45
0.12,26,0,583,3.5,16.83,-1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,140.38
0.61,31,0,507253,1377.26,45.19,4,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,12359.84
0,43,13,1954301,839.18,92.25,-3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,8617.36
0,18,8,5263,7.86,55.05,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,383.26
0.49,7,5,4736,18.4,23.76,-4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,323.55
0.68,39,15,3996,11.76,22.39,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,836.8
0.18,15,7,16227,46.61,54.29,-2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,595.73
0.38,44,21,2663,4.43,15.69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,232.86
0.67,34,13,3151086,10624.83,44.95,-1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,24383.58
0.68,15,8,143739,409.34,72.82,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4089.47
0.04,35,17,557,5.58,18.45,-3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,113.86
0.81,0,3,495,6.11,20.95,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,516.72
0.65,32,11,2135,9.97,14.81,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1157.2
0.84,18,8,10381,26.1,45.79,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1536.89
0.69,26,12,524871,1566.67,59.65,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4300.25
0.36,25,24,14074,34.08,95.89,-3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1165.4
0.22,8,4,788,4.22,24.47,-2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,179.2
0.11,17,7,133437,210.57,94.13,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1050.81
0,25,11,1849,3.13,15.48,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,556.87
0.58,10,4,496,3.06,18.67,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,215.68
0.17,18,6,0,4.71,17.09,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,148.42
0.45,9,5,1247,6.02,13.52,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,244.62
0.4,14,8,0,3.79,10.26,-3,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,213.96
0.97,30,15,575,4.58,13.39,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,708.86
0.87,19,11,250244,1383.56,95.79,-4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4083.76
0.93,30,10,1016,9.89,13.29,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3144.43
0.38,12,8,2112,4.16,17.29,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,251.07
0.5,16,6,1171,3.34,18.85,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,236.89
0.18,15,6,477,6.35,15.4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,189.24
0.38,56,17,50809,47.18,67.44,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1030.25
0.88,25,17,768813,3929.77,55.12,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,28508.63
0.22,23,13,345,6.23,22.3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,225.61
0.43,0,14,2851,6.55,22.15,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,390.57
0.49,16,0,944,5.49,16.52,-3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,215.42
0.88,24,15,799475,2896.76,54.34,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,20923
0.64,10,4,0,31.69,91.98,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1043.72
0.03,41,9,494,5.58,18.88,-1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,156.01
0.28,37,20,9467,20.41,27.4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,428.22
0,35,13,0,88.84,34.46,-3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2135.3
0.86,14,7,3694,8.3,17.02,-4,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1494.4
0.99,8,0,149,6.92,21.85,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,626.73
0.27,37,16,7365,28.53,29.16,-4,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,336.53
0.42,24,17,4848,32.42,23.52,-1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,552.54
0.3,23,10,1153,3.71,20.65,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,199.1
0.99,30,7,1104,5.91,14.04,-4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,801.86
0.34,23,12,450,4.95,24.48,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,211.1
0,13,7,51068,153.97,71.73,-3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,687.11
0.51,29,10,1996,11.45,20.82,-2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,330.13
0.36,9,5,63,4.3,11.28,-2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,112.03
0.77,10,5,541,5.28,23.04,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,420.24
0,41,9,19928,121.37,82.14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1310.04
0.79,23,8,152855,647.77,88.79,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,19151.67
0.18,26,6,1606,6.56,16.18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,185.39
0.87,7,5,2125,5.22,19.81,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,523.71
0.32,41,12,7830,16.23,88.99,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,772.7
0.58,28,17,896,3.32,17.24,-3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,344.74
0.03,7,0,2168,4.65,17.06,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,171.15
0.4,18,9,322,5.31,15.7,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,216.4
0.57,4,3,26,3.15,18.99,-4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,182.64
0.41,19,8,0,6.43,11.82,-3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,196.34
0.48,24,6,59036,319.06,70.13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1964.21
0.69,25,14,1695010,7351.07,75.19,-3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,322018.37
0.41,11,8,815,5.52,21.32,-3,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,239.33
0,9,5,653,5.6,22.6,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,406.91
0.16,20,11,2797,3.03,14.31,-2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,184.31
0.47,22,18,18959,111.06,92.24,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1394.04
0.46,12,8,1448,9.85,15.31,-3,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,371.58
0.65,4,4,78,4.63,13.77,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,231.13
0.32,35,11,491,3.35,15.16,-3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,157.6
0,13,7,3130,6.21,16.02,-3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,164.69
0.29,42,18,14120,12.59,72.17,-2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,655.89
0.95,44,15,11196,61.12,57.31,-1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,7178.95
0.86,34,11,1793759,1332.42,25.62,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,84932.99
0.48,18,9,837,3.12,10.98,-2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,182.24
0.58,34,8,463,3.78,13.34,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,297.34
0,5,3,701,6.7,24.16,-2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,253.49
0.62,28,7,0,3.03,13.03,-2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,290.28
0.87,26,8,314113,1846.84,60.7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8745.47
0.25,19,11,8648,17.04,74.41,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,527.23
0.21,27,10,23049,16.67,77.67,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,730.8
0.16,29,9,0,6.49,21.95,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,198.87
0.47,11,7,1318,4.15,13.13,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,179.33
0.84,4,4,43,3.39,15.75,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,214.77
0.55,35,18,59797,238.2,87.86,-3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1756.36
0.57,7,5,0,41.61,28.46,-2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,537.6
0.54,35,8,278714,378.41,92.17,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,3673.54
0.1,7,5,2666,5.12,14.13,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,226.23
0.34,8,0,5153,8.92,97.79,-1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,648.1
0.33,28,8,0,8.71,24.06,4,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,357.42
0.25,14,7,5648,10.24,79.85,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,480.86
0.35,32,20,91529,456.3,99.59,-2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2166.06
0.65,31,12,4475,27.1,24.77,-2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,569.38
0,30,8,10547,38.22,33.93,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,579.35
0.22,16,7,3330,11.22,20.81,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,205.17
0.58,15,6,44125,86.41,88.26,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3280.77
0.28,3,3,0,6.08,13.82,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,223.93
0.74,19,7,929,9.38,10.47,-2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,941.39
0,3,2,85,5.64,14.19,-3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,256.53
0.74,23,7,1404,5.49,17.91,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,476.36
0.37,23,10,444173,2359.05,65.95,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,6102.69
0.13,31,12,338703,179.03,25.76,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,655.22
0.27,14,6,335,4.15,21.65,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,177.7
0.45,36,15,110410,188.57,33.45,-3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,651.66
0.43,4,3,32,4.16,22.2,-4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,161.78
0,0,6,182,4.01,16.92,-1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,115.86
0.17,14,6,393,6.33,22.54,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,174.99
0.5,30,20,870,6.41,16.11,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,475.08
0.43,15,8,163,3.19,13.89,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,182.93
0.12,24,0,301767,715.93,52.35,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1933.07
0.64,12,8,285,3.62,21.02,-4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,248.57
0.41,16,6,127,5.18,20.07,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,197.47
0.78,16,7,267,3.19,11.17,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,302.53
0.42,10,4,57,6.92,24.71,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,237.86
0,41,18,28778,97.34,87.21,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1312.68
0.25,37,8,13611,32.43,69.33,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,604.6
0.81,25,7,220,3.2,20.51,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,567.81
0,14,0,150,6.42,13.76,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,326.91
0.67,22,8,241688,661.51,78.79,-1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,17963.1
0.76,16,6,0,6.19,16.64,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,588.97
0.69,13,6,1328,6.36,11.62,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,345.16
0.52,6,5,5741,30.53,81.56,-4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,661.2
0.18,20,6,157,4.98,10.66,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,141.17
0.71,45,0,832,4.33,10.78,-4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,404.9
0,13,6,879,7.08,14.91,-2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,352.88
0.41,16,0,59337,48.13,54.25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,673.15
0.8,0,20,2583679,21161.39,74.42,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,115787.86
0.11,7,4,442,3.43,12,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,123.57
0.81,33,16,98883,259.2,60.9,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5585.99
0.17,27,7,210,3.62,11.65,-2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,120.85
0.74,21,12,0,1906.22,61.53,-2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3571.53
0.31,3,2,17,5.02,21.44,-2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,176.03
0.96,10,4,254,6.16,16.25,-1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,615.1
0.5,29,20,1432756,4745.6,59.41,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,20464.18
0.81,46,10,55040,206.75,73.21,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,4959.93
0.59,39,6,14966,57.19,93.12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1636.4
0.66,8,4,92,6.91,10.71,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,304.57
0.74,24,12,0,3.28,23.23,-4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,431.32
0.31,5,5,349,5.81,13.32,-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172.58
0.22,36,10,3003,5.54,11.85,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,174.92
0.44,33,11,1235,6.27,15.94,-4,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,261.53
0.44,27,7,204525,276.87,78.71,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1411.3
0.26,4,3,14,6.59,17.56,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,157.16
0.18,11,7,0,6.26,17.66,-4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,157.55
1,43,13,43735,115.44,86.23,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,7401.55
0.89,7,5,403,5.54,16.9,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,398.86
0.08,20,10,242733,252.32,53.8,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,873.43
0.36,9,0,0,5.74,18.18,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,206.32
0.35,6,4,2091,9.62,11.95,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,268.72
0.82,10,4,65,3.07,18.17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,290.64
0.27,58,27,24675,56.86,29.79,-4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,818.83
0.35,44,0,7940489,16980.47,69.04,-3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,21723.31
0.15,18,12,753,4.41,19.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,146.3
0.37,30,0,25238,89.21,48.93,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1244.76
0.12,23,6,128,6.45,23.83,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,172.25
0.19,7,4,105,4.56,21.18,-4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,165.26
0.89,50,11,97829,1005.56,36.74,-4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4719.74
0.43,42,18,10374,17.87,45.38,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,867.52
0.1,20,10,717,5.93,19.12,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,129.89
0.63,19,6,2240,10.21,17.03,-2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,282.95
0.26,15,8,4722,6.31,14.58,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,350.94
0.16,9,4,0,10.81,14.97,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,184.73
0.58,3,2,36,4.39,11.99,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,161.67
0,10,4,5240,5.35,28.4,-1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,567.72
0.54,10,4,71,6.19,23.35,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,262.19
0,4,0,0,4.68,12.05,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,217.65
0.42,42,9,2202536,8910.21,96.97,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,84990.55
0.72,12,7,337,6.28,20.26,-4,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,533.03
0.46,40,0,4835604,24069.16,40.12,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,47523.2
0.3,0,9,301,3.15,18.48,2,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,223.42
0,22,13,715,3.06,22.82,-1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,490.22
0.77,0,0,219,3.28,11.15,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,267.38
0.42,20,9,331,5.96,15.33,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,198.53
0.42,20,8,54822,47.39,38.87,-1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,836.99
